manufacturer,model_name,model_year,body_type,fuel_type,transmission,power_(bhp),engine_(cc),mileage,kilometers,previous_owners,insurance_type,seats,city,price_in_lakhs_(₹)
Renault,KWID,2016,Hatchback,Petrol,Automatic,67.0,999.0,24.04,26500.0,2,Comprehensive,5,bangalore,4.2
Volvo,S60,2017,Sedan,Diesel,Automatic,190.0,1969.0,27.03,81716.0,1,Comprehensive,5,bangalore,18.95
Mercedes-Benz,E-Class,2018,Sedan,Diesel,Automatic,254.8,2987.0,17.0,24000.0,2,Comprehensive,5,bangalore,59.9
Mahindra,XUV300,2022,SUV,Petrol,Automatic,108.6,1197.0,17.0,10000.0,1,third_party_insurance,5,bangalore,10.5
MG,Hector Plus,2021,SUV,Petrol,Automatic,141.0,1451.0,16.56,18000.0,1,Comprehensive,6,bangalore,20.75
Honda,Brio,2013,Hatchback,Petrol,Manual,86.8,1198.0,19.4,38197.0,1,third_party_insurance,5,bangalore,3.94
Maruti,Baleno,2017,Hatchback,Petrol,Automatic,81.8,1197.0,19.56,23000.0,2,Comprehensive,5,bangalore,7.25
Maruti,Alto K10,2013,Hatchback,Petrol,Manual,67.1,998.0,20.92,50000.0,1,third_party_insurance,5,bangalore,2.4
Renault,Kiger,2022,SUV,Petrol,Automatic,71.01,999.0,19.03,10000.0,1,third_party_insurance,5,bangalore,8.35
Hyundai,Grand i10,2019,Hatchback,Petrol,Manual,81.86,1197.0,18.9,19000.0,1,third_party_insurance,5,bangalore,6.95
Kia,Seltos,2020,SUV,Petrol,Automatic,138.08,1353.0,16.5,14000.0,1,Comprehensive,5,bangalore,17.25
Hyundai,EON,2014,Hatchback,Petrol,Manual,55.2,814.0,21.1,29268.0,1,Comprehensive,5,bangalore,3.3
Volkswagen,Vento,2019,Sedan,Petrol,Automatic,103.2,1197.0,18.19,20000.0,1,third_party_insurance,5,bangalore,9.9
Toyota,Yaris,2018,Sedan,Petrol,Manual,105.5,1496.0,17.1,30000.0,1,third_party_insurance,5,bangalore,7.5
Honda,Jazz,2018,Hatchback,Petrol,Automatic,88.7,1199.0,19.0,64374.0,1,not_available,5,bangalore,7.55
MG,Hector,2021,SUV,Diesel,Manual,167.68,1956.0,17.41,30000.0,1,third_party_insurance,5,bangalore,17.5
Hyundai,Alcazar,2022,SUV,Petrol,Automatic,156.9,1999.0,14.2,7100.0,1,Comprehensive,6,bangalore,20.83
Hyundai,i10,2010,Hatchback,Petrol,Manual,68.05,1086.0,19.81,43679.0,1,Comprehensive,5,bangalore,2.71
Hyundai,Creta,2018,SUV,Petrol,Automatic,121.3,1591.0,14.8,40000.0,1,third_party_insurance,5,bangalore,12.8
Hyundai,i20,2012,Hatchback,Diesel,Manual,88.76,1396.0,22.54,40562.0,1,third_party_insurance,5,bangalore,4.36
Hyundai,Creta,2021,SUV,Petrol,Automatic,138.12,1397.0,16.65796052631579,26500.0,2,Comprehensive,5,bangalore,16.75
Hyundai,Venue,2019,SUV,Petrol,Automatic,118.35,998.0,18.15,20000.0,1,third_party_insurance,5,bangalore,12.5
Mahindra,XUV500,2016,SUV,Diesel,Automatic,140.0,2179.0,16.0,58600.0,1,third_party_insurance,7,bangalore,13.5
Volkswagen,T-Roc,2020,SUV,Petrol,Automatic,147.94,1498.0,18.4,42050.0,1,Comprehensive,5,bangalore,22.25
Maruti,Celerio,2015,Hatchback,Petrol,Automatic,67.04,998.0,23.1,65017.0,1,not_available,5,bangalore,4.75
BMW,3 Series,2008,Sedan,Diesel,Automatic,167.6744,1995.0,13.2,80000.0,2,third_party_insurance,5,bangalore,6.0
Jeep,Compass,2021,SUV,Petrol,Automatic,160.77,1368.0,14.1,30000.0,1,third_party_insurance,5,bangalore,24.5
Kia,Seltos,2020,SUV,Petrol,Automatic,138.08,1353.0,16.5,20000.0,1,third_party_insurance,5,bangalore,16.25
Skoda,Superb,2014,Sedan,Diesel,Automatic,138.1,1968.0,17.2,36349.0,1,not_available,5,bangalore,16.5
Hyundai,i10,2009,Hatchback,Petrol,Manual,78.9,1197.0,20.36,80000.0,3,third_party_insurance,5,bangalore,2.49
Renault,Duster,2014,SUV,Petrol,Manual,102.57,1598.0,13.24,83394.0,2,not_available,5,bangalore,6.3
Audi,Q5,2016,SUV,Diesel,Automatic,174.3,1968.0,14.16,30000.0,2,third_party_insurance,5,bangalore,25.99
Maruti,Alto K10,2017,Hatchback,Petrol,Manual,65.71,998.0,24.39,52204.0,1,third_party_insurance,5,bangalore,3.85
Hyundai,i20,2012,Hatchback,Petrol,Manual,78.90559999999999,1197.0,17.0,110000.0,3,third_party_insurance,5,bangalore,3.0
Ford,Endeavour,2017,SUV,Diesel,Automatic,197.0,3198.0,10.91,89000.0,1,third_party_insurance,7,bangalore,29.75
Maruti,Alto 800,2014,Hatchback,Petrol,Manual,47.33,796.0,22.05,29813.0,2,Comprehensive,5,bangalore,2.76
Ford,Figo,2018,Hatchback,Petrol,Manual,86.8,1196.0,18.16,30000.0,1,third_party_insurance,5,bangalore,5.0
Maruti,Ignis,2020,Hatchback,Petrol,Automatic,81.8,1197.0,20.89,13345.0,1,Comprehensive,5,bangalore,7.3
Hyundai,Alcazar,2022,SUV,Diesel,Automatic,113.42,1498.0,18.1,17100.0,1,Comprehensive,7,bangalore,22.45
Hyundai,Grand i10,2014,Hatchback,Petrol,Manual,82.0,1197.0,18.9,75000.0,1,Comprehensive,5,bangalore,3.99
Hyundai,i10,2011,Hatchback,Petrol,Manual,78.9,1197.0,20.36,75523.0,2,Comprehensive,5,bangalore,3.12
Mahindra,XUV500,2015,SUV,Diesel,Manual,140.0,2179.0,16.0,47000.0,1,Comprehensive,7,bangalore,12.75
Tata,Harrier,2022,SUV,Diesel,Manual,167.67,1956.0,16.35,36500.0,1,Comprehensive,5,bangalore,19.9
Renault,Triber,2020,MUV,Petrol,Manual,71.01,999.0,20.0,28253.0,1,Comprehensive,7,bangalore,7.19
Hyundai,Creta,2016,SUV,Diesel,Manual,126.2,1582.0,19.67,50000.0,1,third_party_insurance,5,bangalore,12.6
Hyundai,i10,2010,Hatchback,Petrol,Manual,78.9,1197.0,20.36,90000.0,2,third_party_insurance,5,bangalore,3.0
BMW,X5,2016,SUV,Diesel,Automatic,258.0,2993.0,15.97,70000.0,2,third_party_insurance,5,bangalore,39.81
Hyundai,i20,2016,Hatchback,Petrol,Manual,81.83,1197.0,18.6,52571.0,1,Comprehensive,5,bangalore,6.27
BMW,3 Series,2010,Sedan,Diesel,Automatic,181.0,1995.0,16.07,70000.0,2,third_party_insurance,5,bangalore,13.0
Honda,City,2015,Sedan,Petrol,Manual,117.3,1497.0,17.4,61993.0,1,Comprehensive,5,bangalore,6.72
Hyundai,Tucson,2017,SUV,Diesel,Automatic,182.46,1995.0,16.38,57000.0,1,Comprehensive,5,bangalore,18.25
